,Data_accident,Hora_Avis,Via,Data_publicacio,Hora_publicacio,Text_Complet,URL
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220401_acc_AP7_Bascara
1132," Dijous, 24 de març de 2022", 15.46 ," C-65, al punt quilomètric 23, a Llambilles (Gironès)",24/03/2022,19:55,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 32 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dijous, 24 de març de 2022</strong></p>
<p><strong>HORA D'AVÍS: 15.46 h</strong></p>
<p><strong>VIA: C-65, al punt quilomètric 23, a Llambilles (Gironès)</strong></p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal al punt quilomètric 23 de la C-65 a l’altura de Llambilles (Gironès). Els Mossos d’Esquadra han rebut l’avís a les 15.46 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït un xoc frontal entre un camió i una furgoneta. Com a conseqüència de l’accident, ha mort la passatgera davantera de la furgoneta. Es tracta d’una dona de 61 anys, MD.B.C., veïna de Salt. El conductor de la furgoneta ha resultat ferit greu i l’han traslladat a l’Hospital Trueta.</p>
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, diverses dotacions dels Bombers de la Generalitat i dues ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220324_acc_C65_Llambilles
1133," Diumenge, 20 de març de 2022", 18.14 ," A-2, al punt quilomètric 606, a Sant Joan Despí (Baix Llobregat)",21/03/2022,09:34,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 31 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Diumenge, 20 de març de 2022</strong></p>
<p><strong>HORA D'AVÍS: 18.14 h</strong></p>
<p><strong>VIA: A-2, al punt quilomètric 606, a Sant Joan Despí (Baix Llobregat)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que ahir a la tarda es va registrar un sinistre viari mortal al punt quilomètric 606 de l’A-2 a l’altura de Sant Joan Despí (Baix Llobregat). Els Mossos d’Esquadra van rebre l’avís a les 18.14 h.</p>
<p>Per causes que encara s’estan investigant, una motocicleta va patir una sortida de via i va xocar posteriorment contra una tanca. El motorista i l’acompanyant van resultar ferits menys greus i van ser traslladats a l’hospital Moisès Broggi de Sant Joan Despí. Posteriorment, l’acompanyant ha mort. Es tracta d’una dona de 44 anys, A.R.B.S., veïna de Barcelona.</p>
<p>Arran de la incidència, es van activar tres patrulles dels Mossos d’Esquadra i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p>
<p> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220321_acc_A2_Sant_Joan_Despi
1134," Dissabte, 19 de març de 2022", 07.53 ," C-1415a, al punt quilomètric 20,8 a Terrassa (Vallès Occidental)",19/03/2022,12:23,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 30 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dissabte, 19 de març de 2022</strong></p>
<p><strong>HORA D'AVÍS: 07.53 h</strong></p>
<p><strong>VIA: C-1415a, al punt quilomètric 20,8 a Terrassa (Vallès Occidental)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 20,8 de la C-1415a a l’altura de Terrassa (Vallès Occidental). Els Mossos d’Esquadra han rebut l’avís a les 07.53 h.</p>
<p>Per causes que encara s’estan investigant, hi ha hagut una col·lisió amb dos turismes i tres ciclistes implicats. A conseqüència del xoc, ha mort un dels ciclistes. Es tracta de R.Z.M., un home de 44 anys i veí de Terrassa. A més, hi ha hagut un segon ciclista ferit crític i traslladat a l’hospital Parc Taulí de Sabadell i un tercer ciclista ferit menys greu i traslladat a l’hospital de Terrassa.</p>
<p>Arran de la incidència, s’han activat set patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat i cinc ambulàncies del Sistema d’Emergències Mèdiques (SEM). A més, també hi ha treballat la Policia Local.</p>
<p>La carretera s’ha tallat en els dos sentits de la marxa fins a les 11.40 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p>
<p> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220319_acc_C1415a
1135," Divendres, 11 de març de 2022", 10.03 ," TV-3454, al punt quilomètric 12.5 a Deltebre (Baix Ebre)",11/03/2022,12:53,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquestes víctimes, són 29 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Divendres, 11 de març de 2022</strong></p>
<p><strong>HORA D'AVÍS: 10.03 h</strong></p>
<p><strong>VIA: TV-3454, al punt quilomètric 12.5 a Deltebre (Baix Ebre)</strong></p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 12.5 de la TV-3454 a l’altura de Deltebre (Baix Ebre). Els Mossos d’Esquadra han rebut l’avís a les 10.03 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït una col·lisió frontal entre un camió i un turisme. A conseqüència del xoc, han mort la conductora i la passatgera davantera del turisme. Es tracta de L.C.C., una dona de 80 anys i de L.F.C., una dona de 56 anys, ambdues veïnes de Deltebre. El conductor del camió ha resultat il·lès.</p>
<p>Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>La carretera es manté tallada en els dos sentits de la marxa.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220311_acc_TV3454_Deltebre
1136," Dimarts, 8 de març de 2022", 16.44 ," GI-553, al punt quilomètric 6 a Sant Feliu de Buixalleu (la Selva)",08/03/2022,20:49,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 27 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dimarts, 8 de març de 2022<br/></strong><strong>HORA D'AVÍS: 16.44 h<br/></strong><strong>VIA: GI-553, al punt quilomètric 6 a Sant Feliu de Buixalleu (la Selva)</strong></p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal al punt quilomètric 6 de la GI-553 a l’altura de Sant Feliu de Buixalleu (la Selva). Els Mossos d’Esquadra han rebut l’avís a les 16.44 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït una col·lisió frontal entre dues furgonetes i a conseqüència del xoc ha mort la conductora d’un dels vehicles, S.H.R., de 46 anys i veïna de Tordera. L’altre conductor ha resultat ferit menys greu i ha sigut traslladat a l’Hospital Dr. Josep Trueta.</p>
<p>Arran de la incidència, s’han activat sis patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i dues ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM).</p>
<p>La carretera ha estat tallada en els dos sentits de la marxa i després s’ha circulat a través de pas alternatiu. La circulació s’ha normalitzat passades les 7 de la tarda.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220308_GI553_StFeliuBuixalleu
1137," Dijous, 3 de març de 2022", 19.26 ," P-3311, al punt quilomètric 3 a Santa Bàrbara (Montsià)",03/03/2022,20:58,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 26 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dijous, 3 de març de 2022<br/></strong><strong>HORA D'AVÍS: 19.26 h<br/></strong><strong>VIA: P-3311, al punt quilomètric 3 a Santa Bàrbara (Montsià)</strong></p>
<p>El Servei Català de Trànsit informa que aquest vespre s’ha registrat un sinistre viari mortal al punt quilomètric 3 de la TP-3311 a l’altura de Santa Bàrbara (Montsià). Els Mossos d’Esquadra han rebut l’avís a les 19.26 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït una col·lisió per envestida entre una furgoneta i un ciclista. Com a conseqüència de l’accident, ha mort el ciclista, I.M., de 36 anys i veí de la Galera .</p>
<p>Arran de la incidència, s’han activat dues patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i efectius del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220303_TP3311_santaBarbara
1138," Dilluns, 28 de febrer de 2022", 00.12 ," C-25, al punt quilomètric 133,8 a Manresa (Bages)",28/02/2022,09:47,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 25 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dilluns, 28 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 00.12 h</strong></p>
<p><strong>VIA: C-25, al punt quilomètric 133,8 a Manresa (Bages)</strong></p>
<p>El Servei Català de Trànsit informa que aquesta mitjanit s’ha registrat un sinistre viari mortal al punt quilomètric 133,8 de la C-25 a l’altura de Manresa (Bages). Els Mossos d’Esquadra han rebut l’avís a les 00.12 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït un xoc frontal entre un turisme i un camió. Com a conseqüència de l’accident, ha mort la conductora i única ocupant del turisme, que circulava contra direcció. Es tracta d’una dona de 39 anys, E.A.T., veïna de Sant Fruitós de Bages. El conductor del camió ha resultat ferit lleu i l’han traslladat a l’Hospital Althaia de Manresa.</p>
<p>Arran de la incidència, s’han activat quatre patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM), que també ha activat l’equip de psicòlegs.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220228_acc_C25_Manresa
1139," Dijous, 24 de febrer de 2022", 21.07 ," A-27, al punt quilomètric 3 a Tarragona (Tarragonès)",25/02/2022,09:23,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 24 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dijous, 24 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 21.07 h</strong></p>
<p><strong>VIA: A-27, al punt quilomètric 3 a Tarragona (Tarragonès)</strong></p>
<p>El Servei Català de Trànsit informa que ahir a la nit es va registrar un sinistre viari mortal al punt quilomètric 3 de l’A-27 a l’altura de Tarragona (Tarragonès). Els Mossos d’Esquadra van rebre l’avís a les 21.07 h.</p>
<p>Per causes que encara s’estan investigant, un turisme va atropellar un vianant que anava caminant per la via. Com a conseqüència de l’atropellament, el vianant va morir. Es tracta d’un home de 29 anys, N.E., veí de Tarragona.</p>
<p>Arran de la incidència, es van activar quatre patrulles dels Mossos d’Esquadra i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220225_acc_A27_Tarragona
1140," Dimarts, 22 de febrer de 2022", 04.51 ," AP-2, al punt quilomètric 230 a la Bisbal del Penedès (Baix Penedès)",22/02/2022,12:07,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 23 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dimarts, 22 de febrer de 2022<br/></strong><strong>HORA D'AVÍS: 04.51 h<br/></strong><strong>VIA: AP-2, al punt quilomètric 230 a la Bisbal del Penedès (Baix Penedès)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquesta matinada s’ha registrat un sinistre viari mortal al punt quilomètric 230 de l’AP-2 a l’altura de la Bisbal del Penedès (Baix Penedès), en direcció Barcelona. Els Mossos d’Esquadra han rebut l’avís a les 04.51 h.</p>
<p>Per causes que encara s’estan investigant, s’ha produït un xoc en què s’hi ha vist implicats quatre camions, 2 dels quals han cremat i 1 tercer ha cremat parcialment. El conductor d’un dels camions, A.R., de 63 anys, ha quedat atrapat i ha mort. També hi ha hagut dos ferits lleus que han estat traslladats a l’Hospital del Vendrell. Aquest accident s’ha produït a la cua de la retenció d’un altre accident que hi ha hagut a l’AP-7 a Banyeres del Penedès entre una furgoneta i un camió, que ha quedat bolcat (hora avís 02.30).</p>
<p>L’AP-2 està tallada en sentit Barcelona i es fan desviaments per la sortida 12. Pel que fa a l’AP-7 només hi ha 1 carril obert en cada sentit de la marxa i cues de 10 km tant en direcció Barcelona com en direcció Tarragona.</p>
<p>Per l’accident mortal a l’AP-2 s’han activat vuit patrulles dels Mossos d’Esquadra, quatre dotacions dels Bombers de la Generalitat i cinc ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220222_acc_AP2_BisbalPenedes
1141," Dilluns, 21 de febrer de 2022", 17.41 ," C-252, al punt quilomètric 0,3 a Figueres (Alt Empordà)",21/02/2022,20:51,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 22 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dilluns, 21 de febrer de 2022</strong></p>
<p><strong>HORA D'AVÍS: 17.41 h</strong></p>
<p><strong>VIA: C-252, al punt quilomètric 0,3 a Figueres (Alt Empordà)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquesta tarda s’ha registrat un sinistre viari mortal al punt quilomètric 0,3 de la carretera C-252 a l’altura de Figueres (Alt Empordà). Els Mossos d’Esquadra han rebut l’avís a les 17.41 h.</p>
<p>Per causes que encara s’estan investigant, hi ha hagut una sortida de via d’una motocicleta. A conseqüència d’això, ha mort el conductor d’aquest vehicle. Es tracta de PJ.N, de 72 anys i veí de Roses.</p>
<p>Arran de la incidència, s’han activat cinc patrulles dels Mossos d’Esquadra, dues dotacions dels Bombers de la Generalitat i dues ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220221_acc_C252_Figueres
1142," Dissabte, 19 de febrer de 2022", 19.55 ," AP-7, al punt quilomètric 241,8 a Tarragona (Tarragonès)",21/02/2022,10:01,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 21 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong> </strong><strong>DIA: Dissabte, 19 de febrer de 2022<br/></strong><strong>HORA D'AVÍS: 19.55 h<br/></strong><strong>VIA: AP-7, al punt quilomètric 241,8 a Tarragona (Tarragonès)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que dissabte al vespre es va registrar un sinistre viari mortal al punt quilomètric 241,8 de l’AP-7 a l’altura de Tarragona (Tarragonès). Els Mossos d’Esquadra van rebre l’avís a les 19.55 h.</p>
<p>Per causes que encara s’estan investigant, un camió va atropellar l’ocupant d’un turisme que havia sortit del vehicle que es trobava aturat al voral de la via. A causa de l’accident, l’home va resultar ferit crític i va ser traslladat a l’Hospital Joan XXIII, on va morir hores després. La víctima, F.F.O., tenia 46 anys i era veí d’Almeria. </p>
<p>Arran de la incidència, es van activar quatre patrulles dels Mossos d’Esquadra, tres dotacions dels Bombers de la Generalitat i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM).</p>
<p>Quant a l’afectació viària, l’autopista es va tallar en sentit sud per, posteriorment, quedar tallat un carril.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220221_acc_AP7_tarragona
1143," Dissabte, 19 de febrer de 2022", 19.09 ," C-62, al punt quilomètric 15  a Olost (Osona)",20/02/2022,10:39,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 20 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dissabte, 19 de febrer de 2022<br/></strong><strong>HORA D'AVÍS: 19.09 h<br/></strong><strong>VIA: C-62, al punt quilomètric 15  a Olost (Osona)</strong></p>
<p>El Servei Català de Trànsit informa que ahir al vespre es va registrar un sinistre viari mortal al punt quilomètric 15 de la C-62 a l’altura d’Olost (Osona). Els Mossos d’Esquadra van rebre l’avís a les 19.09 h.</p>
<p>Per causes que encara s’estan investigant, es va produir una col·lisió amb envestida lateral entre una furgoneta i un turisme. Com a conseqüència de l’accident, la conductora del cotxe, C. M. F., de 28 anys i veïna de Vic, va morir. El passatger davanter del turisme i el conductor de la furgoneta van resultar ferits menys greu i van ser traslladats a l’hospital de Vic.  </p>
<p>Arran de la incidència, es van activar quatre patrulles dels Mossos d’Esquadra, cinc dotacions dels Bombers de la Generalitat, que van realitzar tasques d’excarceració, i tres ambulàncies del Sistema d’Emergències Mèdiques (SEM). Quant a l’afectació viària, la carretera C-62 va estar totalment tallada fins a les 22.15 h.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p>
<p> </p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220220_acc_c62
1144," Dissabte, 19 de febrer de 2022", 7.43 ," BV-5159, al punt quilomètric 3 a Vilanova del Vallès (Vallès Oriental)",19/02/2022,15:40,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 19 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong><strong> </strong></p>
<p><strong>DIA: Dissabte, 19 de febrer de 2022<br/></strong><strong>HORA D'AVÍS: 7.43 h<br/></strong><strong>VIA: BV-5159, al punt quilomètric 3 a Vilanova del Vallès (Vallès Oriental)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquest matí s’ha registrat un sinistre viari mortal al punt quilomètric 3 de la BV-5159 a l’altura de Vilanova del Vallès (Vallès Oriental). Els Mossos d’Esquadra han rebut l’avís a les 7.43 h.</p>
<p>Per causes que encara s’estan investigant, un turisme amb quatre ocupants ha sortit de la via i ha topat contra un arbre. Com a conseqüència de l’accident, el conductor, A.B., de 21 anys i veí de les Franqueses del Vallès, ha resultat ferit crític i ha estat evacuat a l’hospital Sant Pau, on ha mort posteriorment. Els altres tres ocupants del vehicle han resultat ferits de diversa consideració: un ferit crític traslladat a Vall d’Hebron, un ferit greu al Parc Taulí i una ferida menys greu a l’hospital de Granollers.</p>
<p>Arran de la incidència, s’han activat diverses patrulles dels Mossos d’Esquadra, sis dotacions dels Bombers de la Generalitat, que han hagut de realitzar tasques d’excarceració, i cinc ambulàncies i l’helicòpter medicalitzat del Sistema d’Emergències Mèdiques (SEM). La carretera BV-5159 ha estat totalment tallada durant quatre hores.</p>
<p>El Servei Català de Trànsit recorda que el SIAVT (Servei d'Informació i Atenció a les Víctimes de Trànsit) es troba a disposició dels familiars i afectats per sinistres de trànsit els 365 dies de l’any per oferir-los un servei d'orientació i informació sobre els tràmits després del sinistre, conèixer els recursos existents, rebre informació sobre els drets que els reconeix la legislació vigent i el suport psicològic davant d’un sinistre de trànsit. S'hi pot contactar mitjançant el telèfon gratuït 900 100 268 i a través del web <a href=""https://transit.gencat.cat/ca/siavt"" title=""Accés al portal del SIAVT"">victimestransit.gencat.cat</a>.</p></div>]",https://transit.gencat.cat/ca/detalls/Noticia/20220219_acc_bv5159
1145," Dissabte, 19 de febrer de 2022", 1.11 ," C-63, al punt quilomètric 7,9 a Vidreres (Selva)",19/02/2022,13:20,"[<div class=""basic_text_peq pd-15 link-dotted""><p><strong>Amb aquesta víctima, són 18 les persones que han mort en accident de trànsit enguany a la xarxa viària interurbana de Catalunya (dades provisionals)</strong></p>
<p><strong>DIA: Dissabte, 19 de febrer de 2022<br/></strong><strong>HORA D'AVÍS: 1.11 h<br/></strong><strong>VIA: C-63, al punt quilomètric 7,9 a Vidreres (Selva)</strong><strong> </strong></p>
<p>El Servei Català de Trànsit informa que aquesta matinada s’ha registrat un sinistre viari mortal a la carretera C-63 al punt quilomètric 7,9 a l’altura de Vidreres (Selva). Els Mossos d’Esquadra han rebut l’avís a les 1.11 h.</p>
